File Name,Folder Name,Page,Field,Value,Confidence,BBox,Tokens Used,INR Cost,Start Time,End Time
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Invoice No,AH/001/2019-2020,0.95,"[360, 130, 480, 150]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Invoice Date,01/04/2019,0.95,"[360, 170, 420, 190]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Seller GSTIN,05AAZPB4078Q1ZW,0.95,"[100, 70, 240, 90]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Seller Pan,AAZPB4078Q,0.95,"[360, 520, 440, 540]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Seller Name,Mr Chaman Lal Bajaj,0.95,"[20, 20, 200, 40]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Buyer GSTIN,07AAACL9861H1Z8,0.95,"[100, 110, 240, 130]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Buyer Name,Decathlon Sports India Pvt Ltd,0.95,"[100, 90, 300, 110]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Buyer Pan,,0.0,[],425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Ship to GSTIN,,0.0,[],425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Ship to Name,,0.0,[],425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Subtotal Amount,"47,265.00",0.95,"[500, 260, 580, 280]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Discount Amount,0.00,0.95,"[500, 300, 580, 320]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,CGST Amount,0.00,0.95,"[500, 340, 580, 360]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,SGST Amount,0.00,0.95,"[500, 360, 580, 380]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,IGST Amount,"8,508.00",0.95,"[500, 320, 580, 340]",425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Cess Amount,0.00,0.0,[],425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,Additianal Cess Amount,0.00,0.0,[],425,2.12,2025-07-17 00:38:00,2025-07-17 00:39:06
PB22INV5750.pdf,Decathlon,1,Invoice No,PB22INV5750,0.95,"[450, 100, 550, 120]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Invoice Date,03-11-2022,0.95,"[450, 120, 550, 140]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Seller GSTIN,29AACCP3181C1ZL,0.95,"[700, 700, 800, 720]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Seller Pan,AACCP3181C,0.95,"[100, 700, 200, 720]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Seller Name,Posiflex Technology (India) Pvt Ltd,0.95,"[500, 600, 700, 620]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Buyer GSTIN,07AAACL9861H1Z8,0.95,"[200, 200, 350, 220]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Buyer Name,Decathlon Sports India Private Limited,0.95,"[100, 100, 350, 120]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Buyer Pan,Not Available,0.0,"[0, 0, 0, 0]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Ship to GSTIN,07AAACL9861H1Z8,0.95,"[200, 250, 350, 270]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Ship to Name,Decathlon Sports India Private Limited,0.95,"[100, 150, 350, 170]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Subtotal Amount,53626.32,0.95,"[500, 500, 600, 520]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Discount Amount,0.00,0.0,"[0, 0, 0, 0]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,CGST Amount,0.00,0.0,"[0, 0, 0, 0]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,SGST Amount,0.00,0.0,"[0, 0, 0, 0]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,IGST Amount,11462.68,0.95,"[500, 520, 600, 540]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Cess Amount,0.00,0.0,"[0, 0, 0, 0]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
PB22INV5750.pdf,Decathlon,1,Additianal Cess Amount,0.00,0.0,"[0, 0, 0, 0]",446,2.23,2025-07-17 00:39:06,2025-07-17 00:40:20
INV-2122-0031.pdf,Decathlon,1,Invoice No,INV-21/22-0031,0.95,"[200, 220, 300, 240]",426,2.13,2025-07-17 00:40:20,2025-07-17 00:41:29
INV-2122-0031.pdf,Decathlon,1,Invoice Date,26/07/2021,0.95,"[200, 240, 300, 260]",426,2.13,2025-07-17 00:40:20,2025-07-17 00:41:29
INV-2122-0031.pdf,Decathlon,1,Seller GSTIN,27AACCL3430G1ZT,0.95,"[400, 100, 550, 120]",426,2.13,2025-07-17 00:40:20,2025-07-17 00:41:29
