File,Invoice No,Invoice Date,Seller GSTIN,Seller Pan,Seller Name,Buyer GSTIN,Buyer Name,Buyer Pan,Ship to GSTIN,Ship to Name,Subtotal Amount,Discount Amount,CGST Amount,SGST Amount,IGST Amount,Cess Amount,Additianal Cess Amount
_000013845-0001_SI_Sales_24-25_635_page1.json,"{'value': '24-25/635', 'bbox': [450, 100, 520, 120], 'confidence': 0.95}","{'value': '4-Dec-24', 'bbox': [600, 100, 660, 120], 'confidence': 0.95}","{'value': '09AAVFB7148K1ZO', 'bbox': [200, 160, 320, 180], 'confidence': 0.95}","{'value': 'AAVFB7148K', 'bbox': [200, 180, 280, 200], 'confidence': 0.95}","{'value': 'BIUT BATH INDUSTRY LLP', 'bbox': [100, 40, 300, 60], 'confidence': 0.95}","{'value': '29AAACG4464B1ZU', 'bbox': [200, 280, 320, 300], 'confidence': 0.95}","{'value': 'GRASIM INDUSTRIES LIMITED', 'bbox': [100, 220, 300, 240], 'confidence': 0.95}","{'value': 'AAACG4464B', 'bbox': [200, 300, 280, 320], 'confidence': 0.95}","{'value': '23AACCG4464B1ZU', 'bbox': [200, 200, 320, 220], 'confidence': 0.95}","{'value': 'GRASIM INDUSTRIES LIMITED', 'bbox': [100, 140, 300, 160], 'confidence': 0.95}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}"
GRN2630812.json,"{'value': 'F21100018080-24', 'bbox': [430, 80, 560, 100], 'confidence': 0.95}","{'value': '25.09.2024', 'bbox': [430, 100, 520, 120], 'confidence': 0.95}","{'value': '29AAECN1546M1Z3', 'bbox': [100, 180, 250, 200], 'confidence': 0.95}","{'value': 'U01120KA2010PTC052035', 'bbox': [100, 220, 300, 240], 'confidence': 0.95}","{'value': 'Dairy Tales Namdhari Pvt. Ltd.', 'bbox': [100, 60, 300, 80], 'confidence': 0.95}","{'value': '', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': 'Bundl Technologies Pvt Ltd (HO)', 'bbox': [100, 300, 300, 320], 'confidence': 0.95}","{'value': '', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '29AAFCB7707D1ZQ', 'bbox': [430, 340, 560, 360], 'confidence': 0.95}","{'value': 'Bundl Technologies Pvt Ltd - JP Nagar', 'bbox': [430, 320, 600, 340], 'confidence': 0.95}","{'value': '307.18', 'bbox': [500, 460, 560, 480], 'confidence': 0.95}","{'value': '0.00', 'bbox': [500, 500, 560, 520], 'confidence': 0.95}","{'value': '0.00', 'bbox': [500, 480, 560, 500], 'confidence': 0.95}","{'value': '0.00', 'bbox': [500, 480, 560, 500], 'confidence': 0.95}","{'value': '0.00', 'bbox': [500, 480, 560, 500], 'confidence': 0.95}","{'value': '0.00', 'bbox': [500, 520, 560, 540], 'confidence': 0.95}","{'value': '0.00', 'bbox': [500, 520, 560, 540], 'confidence': 0.95}"
GRN2290682.json,"{'value': '12400048914', 'bbox': [320, 100, 480, 120], 'confidence': 0.95}","{'value': '30/09/2024', 'bbox': [200, 100, 280, 120], 'confidence': 0.95}","{'value': '29AAICM3930G1ZD', 'bbox': [500, 240, 620, 260], 'confidence': 0.95}","{'value': 'AAICM3930G', 'bbox': [500, 280, 580, 300], 'confidence': 0.95}","{'value': 'ID FRESH FOOD (INDIA) PRIVATE LIMITED', 'bbox': [400, 180, 620, 220], 'confidence': 0.95}","{'value': '29AAFCB7707D1ZQ', 'bbox': [180, 240, 300, 260], 'confidence': 0.95}","{'value': 'Swiggy Limited', 'bbox': [100, 180, 250, 200], 'confidence': 0.95}","{'value': '', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '714.29', 'bbox': [600, 480, 660, 500], 'confidence': 0.95}","{'value': '0.00', 'bbox': [600, 520, 660, 540], 'confidence': 0.95}","{'value': '17.86', 'bbox': [600, 460, 660, 480], 'confidence': 0.95}","{'value': '17.86', 'bbox': [600, 460, 660, 480], 'confidence': 0.95}","{'value': '0.00', 'bbox': [600, 460, 660, 480], 'confidence': 0.95}","{'value': '0.00', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '0.00', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}"
12028.json,"{'value': '12028', 'bbox': [520, 100, 580, 120], 'confidence': 0.95}","{'value': '29-12-2022', 'bbox': [520, 140, 600, 160], 'confidence': 0.95}","{'value': '36AADCE2731L1ZN', 'bbox': [520, 220, 640, 240], 'confidence': 0.95}","{'value': 'AADCE2731L', 'bbox': [520, 200, 600, 220], 'confidence': 0.95}","{'value': 'Exceloid Soft Systems Pvt Ltd', 'bbox': [100, 100, 350, 140], 'confidence': 0.95}","{'value': '07AAACL9861H1Z8', 'bbox': [200, 340, 320, 360], 'confidence': 0.95}","{'value': 'Decathlon Sports india Pvt Ltd', 'bbox': [100, 260, 350, 280], 'confidence': 0.95}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '07AAACL9861H1Z8', 'bbox': [600, 340, 720, 360], 'confidence': 0.95}","{'value': 'Decathlon Sports india Pvt Ltd', 'bbox': [500, 260, 750, 280], 'confidence': 0.95}","{'value': '106520.00', 'bbox': [700, 560, 780, 580], 'confidence': 0.95}","{'value': '0.00', 'bbox': [], 'confidence': 0.0}","{'value': '0.00', 'bbox': [], 'confidence': 0.0}","{'value': '0.00', 'bbox': [], 'confidence': 0.0}","{'value': '19173.60', 'bbox': [700, 600, 780, 620], 'confidence': 0.95}","{'value': '0.00', 'bbox': [], 'confidence': 0.0}","{'value': '0.00', 'bbox': [], 'confidence': 0.0}"
208_0003311_2324_PMRMO24405_1_20230802122016.json,"{'value': '08', 'bbox': [520, 100, 560, 120], 'confidence': 0.95}","{'value': '31.7.2023', 'bbox': [520, 130, 600, 150], 'confidence': 0.95}","{'value': '09ANHPK5353N1ZG', 'bbox': [0, 20, 150, 40], 'confidence': 0.95}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': 'A-BEE ASSOCIATES', 'bbox': [100, 170, 350, 200], 'confidence': 0.95}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': 'Hamdard Lab India', 'bbox': [100, 300, 250, 320], 'confidence': 0.95}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': 'Hamdard Lab India', 'bbox': [100, 300, 250, 320], 'confidence': 0.95}","{'value': '4130', 'bbox': [600, 650, 650, 670], 'confidence': 0.95}","{'value': '0', 'bbox': [600, 630, 650, 650], 'confidence': 0.95}","{'value': '630', 'bbox': [600, 690, 650, 710], 'confidence': 0.95}","{'value': '630', 'bbox': [600, 710, 650, 730], 'confidence': 0.95}","{'value': '0', 'bbox': [600, 730, 650, 750], 'confidence': 0.95}","{'value': '0', 'bbox': [600, 750, 650, 770], 'confidence': 0.95}","{'value': '0', 'bbox': [600, 770, 650, 790], 'confidence': 0.95}"
SWIGGY LIMITED_Jul 25_FMS Rental_Lease Rental_IND-214045_page2.json,"{'value': '101572-16', 'bbox': [100, 100, 170, 130], 'confidence': 0.95}","{'value': '01/07/2025', 'bbox': [300, 100, 370, 130], 'confidence': 0.95}","{'value': 'KAOSNK5021', 'bbox': [170, 100, 240, 130], 'confidence': 0.95}","{'value': '996749', 'bbox': [50, 100, 100, 130], 'confidence': 0.95}","{'value': 'FMS Rental', 'bbox': [0, 100, 50, 130], 'confidence': 0.95}","{'value': '1018228', 'bbox': [240, 100, 300, 130], 'confidence': 0.95}","{'value': 'MANIUNATH RAO', 'bbox': [370, 100, 470, 130], 'confidence': 0.95}","{'value': '', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '2184.11', 'bbox': [700, 100, 750, 130], 'confidence': 0.95}","{'value': '0.00', 'bbox': [750, 100, 800, 130], 'confidence': 0.95}","{'value': '18.00', 'bbox': [800, 100, 850, 130], 'confidence': 0.95}","{'value': '333.17', 'bbox': [850, 100, 900, 130], 'confidence': 0.95}","{'value': '0.00', 'bbox': [900, 100, 950, 130], 'confidence': 0.95}","{'value': '0.00', 'bbox': [950, 100, 1000, 130], 'confidence': 0.95}","{'value': '0.00', 'bbox': [1000, 100, 1050, 130], 'confidence': 0.95}"
_000001856-0006_SI_SI2012311401_page2.json,"{'value': 'SIZ201231041', 'bbox': [320, 1000, 420, 1020], 'confidence': 0.95}","{'value': '10.01.2024', 'bbox': [450, 1000, 530, 1020], 'confidence': 0.95}","{'value': '06AAACG4468B3ZO', 'bbox': [580, 1000, 700, 1020], 'confidence': 0.95}","{'value': 'AAACG4468B', 'bbox': [720, 1000, 800, 1020], 'confidence': 0.95}","{'value': 'UTTAM STRIPS LIMITED', 'bbox': [320, 960, 580, 980], 'confidence': 0.95}","{'value': '20AADCH1920G1ZI', 'bbox': [320, 1040, 440, 1060], 'confidence': 0.95}","{'value': 'UTTAM STRIPS LIMITED', 'bbox': [320, 1080, 580, 1100], 'confidence': 0.95}","{'value': 'AAACG4468B', 'bbox': [720, 1040, 800, 1060], 'confidence': 0.95}","{'value': '20AADCH1920G1ZI', 'bbox': [320, 1120, 440, 1140], 'confidence': 0.95}","{'value': 'UTTAM STRIPS LIMITED', 'bbox': [320, 1160, 580, 1180], 'confidence': 0.95}","{'value': '645691.09', 'bbox': [600, 680, 680, 700], 'confidence': 0.95}","{'value': '0.00', 'bbox': [600, 720, 680, 740], 'confidence': 0.95}","{'value': '0.00', 'bbox': [600, 760, 680, 780], 'confidence': 0.95}","{'value': '0.00', 'bbox': [600, 800, 680, 820], 'confidence': 0.95}","{'value': '358717.72', 'bbox': [600, 840, 680, 860], 'confidence': 0.95}","{'value': '0.00', 'bbox': [600, 880, 680, 900], 'confidence': 0.95}","{'value': '0.00', 'bbox': [600, 920, 680, 940], 'confidence': 0.95}"
_000001856-0006_SI_SI2012311401_page3.json,"{'value': '7913 9642 1989', 'bbox': [120, 140, 280, 160], 'confidence': 0.95}","{'value': '10/01/2024', 'bbox': [350, 140, 430, 160], 'confidence': 0.95}","{'value': '06AAACU8548C1Z9', 'bbox': [120, 260, 280, 280], 'confidence': 0.95}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': 'UTTAM STRIPS LTD', 'bbox': [120, 280, 280, 300], 'confidence': 0.95}","{'value': '09AAACG4468B3Z0', 'bbox': [350, 260, 510, 280], 'confidence': 0.95}","{'value': 'GSTIN INDUSTRIES LIMITED', 'bbox': [350, 280, 510, 300], 'confidence': 0.95}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': 'COMMITTED ISPAT PRIVATE LIMITED', 'bbox': [350, 320, 510, 340], 'confidence': 0.95}","{'value': '3587172.72', 'bbox': [400, 460, 510, 480], 'confidence': 0.95}","{'value': '0.00', 'bbox': [], 'confidence': 0.0}","{'value': '0.00', 'bbox': [120, 500, 200, 520], 'confidence': 0.95}","{'value': '0.00', 'bbox': [220, 500, 300, 520], 'confidence': 0.95}","{'value': '645691.09', 'bbox': [320, 500, 400, 520], 'confidence': 0.95}","{'value': '0.00', 'bbox': [420, 500, 500, 520], 'confidence': 0.95}","{'value': '0.00', 'bbox': [520, 500, 600, 520], 'confidence': 0.95}"
24-2019-20 - Sangeetha Madan.json,"{'value': '24/2019-20', 'bbox': [260, 30, 330, 50], 'confidence': 0.95}","{'value': '01.07.19', 'bbox': [340, 30, 400, 50], 'confidence': 0.95}","{'value': '07AEHPM1499N1ZU', 'bbox': [260, 60, 380, 80], 'confidence': 0.95}","{'value': 'AEHPM1499N', 'bbox': [260, 80, 340, 100], 'confidence': 0.95}","{'value': 'SANGEETA MADAN', 'bbox': [260, 40, 380, 60], 'confidence': 0.95}","{'value': '07AAACL9861H1Z8', 'bbox': [260, 200, 380, 220], 'confidence': 0.95}","{'value': 'Decathlon Sports India Pvt Ltd', 'bbox': [100, 120, 300, 140], 'confidence': 0.95}","{'value': 'AAACL9861H', 'bbox': [260, 220, 340, 240], 'confidence': 0.95}","{'value': '07AAACL9861H1Z8', 'bbox': [500, 200, 620, 220], 'confidence': 0.95}","{'value': 'Decathlon Sports India Pvt Ltd', 'bbox': [400, 120, 600, 140], 'confidence': 0.95}","{'value': '25990', 'bbox': [600, 360, 660, 380], 'confidence': 0.95}","{'value': '0', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '2339', 'bbox': [600, 380, 660, 400], 'confidence': 0.95}","{'value': '2339', 'bbox': [600, 400, 660, 420], 'confidence': 0.95}","{'value': '0', 'bbox': [600, 420, 660, 440], 'confidence': 0.95}","{'value': '0', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}","{'value': '0', 'bbox': [0, 0, 0, 0], 'confidence': 0.0}"
BOLPF 1236 - PETS CENTRIC PRIVATE LIMITED - DL - Muhammed Noufal_page1.json,"{'value': 'BOLPF/24-25/1236', 'bbox': [420, 160, 540, 180], 'confidence': 0.95}","{'value': '4-Dec-24', 'bbox': [580, 160, 660, 180], 'confidence': 0.95}","{'value': '27AAECV8384M1ZH', 'bbox': [100, 300, 220, 320], 'confidence': 0.95}","{'value': 'AAECV8384H', 'bbox': [100, 320, 180, 340], 'confidence': 0.95}","{'value': 'VIVALDIS HEALTH AND FOODS PVT LTD.', 'bbox': [100, 200, 350, 220], 'confidence': 0.95}","{'value': '07AALCP9335K1ZT', 'bbox': [100, 420, 220, 440], 'confidence': 0.95}","{'value': 'PETS CENTRIC PRIVATE LIMITED - DL', 'bbox': [100, 360, 300, 380], 'confidence': 0.95}","{'value': 'AALCP9335H', 'bbox': [100, 440, 180, 460], 'confidence': 0.95}","{'value': '07AALCP9335K1ZT', 'bbox': [100, 420, 220, 440], 'confidence': 0.95}","{'value': 'PETS CENTRIC PRIVATE LIMITED - DL', 'bbox': [100, 360, 300, 380], 'confidence': 0.95}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}","{'value': '', 'bbox': [], 'confidence': 0.0}"
